Starting bacterial monomers: 100
Starting EPS monomers: 1
Starting nutrients: 1
Starting bacteria: 20
Simulation width: 100
Simulation height: 100
Simulation duration: 30

Bacterium:0:Spawn:(65,40)
Bacterium:1:Spawn:(83,42)
Bacterium:2:Spawn:(94,76)
Bacterium:3:Spawn:(83,19)
Bacterium:4:Spawn:(82,72)
Bacterium:5:Spawn:(90,79)
Bacterium:6:Spawn:(74,40)
Bacterium:7:Spawn:(2,7)
Bacterium:8:Spawn:(39,82)
Bacterium:9:Spawn:(27,30)
Bacterium:10:Spawn:(67,57)
Bacterium:11:Spawn:(58,90)
Bacterium:12:Spawn:(86,16)
Bacterium:13:Spawn:(53,41)
Bacterium:14:Spawn:(37,3)
Bacterium:15:Spawn:(5,28)
Bacterium:16:Spawn:(58,76)
Bacterium:17:Spawn:(94,27)
Bacterium:18:Spawn:(78,18)
Bacterium:19:Spawn:(16,28)
Bacterium:0:Run:(58,40):(57,40)
Bacterium:8:Run:(32,82):(31,82)
Bacterium:17:Run:(87,27):(86,27)
Bacterium:11:Run:(51,90):(50,90)
Bacterium:14:Run:(30,3):(29,3)
Bacterium:1:Run:(76,42):(75,42)
Bacterium:3:Run:(76,19):(75,19)
*
Bacterium:15:Run:(0,25):(0,24)
Bacterium:1:Run:(75,42):(74,42)
Bacterium:6:Run:(66,40):(65,40)
Bacterium:13:Run:(45,41):(44,41)
Bacterium:0:Run:(57,40):(56,40)
Bacterium:17:Run:(86,27):(85,27)
Bacterium:3:Run:(75,19):(74,19)
Bacterium:18:Run:(70,18):(69,18)
Bacterium:5:Run:(82,79):(81,79)
Bacterium:11:Run:(50,90):(49,90)
Bacterium:10:Run:(59,57):(58,57)
Bacterium:8:Run:(31,82):(30,82)
Bacterium:9:Run:(19,30):(18,30)
Bacterium:2:Run:(86,76):(85,76)
Bacterium:19:Run:(8,28):(7,28)
Bacterium:16:Run:(50,76):(49,76)
Bacterium:14:Run:(29,3):(28,3)
Bacterium:7:Run:(0,1):(0,0)
Bacterium:4:Run:(74,72):(73,72)
Bacterium:12:Run:(78,16):(77,16)
*
